id,text,child_safe,adult_safe
1,"ክፉ መንፈስ መስሎኝ ፡ ስታይኝ ያስጓራሽ  ከስሜ ጋር አብሮ ፡ ሞቴን የሚያስጠራሽ
  ከስሜ ጋር አብሮ ፡ ሞቴን የሚያስጠራሽ
 ከስሜ ጋር አብሮ ፡ ሞቴን የሚያስጠራሽ
 ርኩስ መንፈስ መስሎኝ ፡ማቅ ትቢያ ለብሼ
 ድርሳን መልክዓውን፡ ገድሉን አጋምሼ
 ከገደል መድሃኒት፡  ቅጠል ሥር በጥሼ
 ቀምሜ ላድንሽ ፡መጥቼ ነበረ
 ስቀርብሽ ግን እኔም፡ ያስጮኸኝ ጀመረ",1,1
2,"ቅላይ ሚኒስትር ዐብይ አሕመድ (ዶ/ር) "" የውጭ ባንኮች መግባት በሀገር በቀል ባንኮች ላይ ሊያሳድር የሚችለውን አሉታዊ ተፅዕኖ ለመቀነስና ፍትሃዊ ውድድር እንዲኖር ለማድረግ ምን አይነት የጥንቃቄ እርምጃዎች ተወስደዋል ? "" በሚል በፓርላማ አባል ለቀረበላቸው ጥያቄ ምላሽ እና ማብራሪያ ሰጥተዋል። ",1,1
3,በፈለጋችሁት መመዘኛ ሳናመርት ከውጭ ገዝተን ፖርት ሳይኖረን በየመሀሉ እየተቀሸበ በድጎማ ሃይል ግን ከእኛ ሰፈር ካሉና ፖርት ካላቸው አገራት ያነሰ ዋጋ ነው የምናቀርበው,1,1
4,ፒተርና እኔ ሰገነቱ ላይ ሆነን በመስኮት በኩል ሰማዩን ስናይ፣ በምድር ላይ ያለውን ስቃይ ሁሉ እንረሳዋለን። እሱ አጠገቤ ሲቀመጥና ትከሻዬን ሲደገፍ፣ ዓለም በሰላም ላይ ያለች ይመስለኛል። እዚያች ጠባብ ክፍል ውስጥ ሆኖ ስለ ነፃነት፣ ስለ ወደፊት ሕይወታችንና ስለ ፍቅር ማውራት ትልቅ ድፍረት ነበር።,1,1
5,"በውስጤ ሁለት አናዎች አሉ። አንደኛዋ ደስተኛ፣ ቀልደኛ እና ስለ ምንም ነገር ግድ የሌላት ናት። ሁለተኛዋ ግን ከሰዎች እይታ የተሰወረች፣ ጥልቅ ስሜት ያላት፣ የምታስብ እና የምትጨነቅ ናት።
ነዚህ ነገሮች ተፅዕኖ ቢኖራቸውም፣ እንቅፋት የሚሆኑት ግን አንተ በውስጥህ ዝግጁ ካልሆንክ ብቻ ነው። ለምሳሌ፦ ብዙ ገንዘብ ኖሮህ ነገር ግን ገንዘብን የማስተዳደር የውስጥ ብቃት ከሌለህ፣ ያው ገንዘብ ራሱ ሌላ እንቅፋት ይሆንብሃል።ስለዚህ ትልቁ ችግር የገንዘብ ማነስ ሳይሆን፣ ያንተ የውስጥ ማንነት ዝግጁነት ነው!",1,1
6,"የሳራ የኮምፒውተር ጨዋታ :ሳራ በኢንተርኔት ላይ ""ፈገግታ"" የሚባል ጓደኛ አገኘች። እሱ በጣም አዋቂ እና አዝናኝ ነበር።አንድ ቀን ""ፈገግታ"" እንዲህ አላት፡ ""በጣም ስለምወድሽ፣ በመኝታ ቤትሽ ያለሽን ልብስ ለብሰሽ ፎቶ ላኪልኝ።ይህ የቅርብ ጓደኝነታችን ምልክት ነው፣ ለማንም አታሳይ። ካሳየሽ ግን ጓደኝነታችን ያበቃል"" ሲል አስጠነቀቃት",0,0
7,"አሉላ እና አዲሱ ጓደኛው:በአትክልቱ ስፍራ አጥር አጠገብ፣ አሉላ አንድ ደግ ሰው አገኘ። ሰውየው ""ይህ የእኛ ልዩ ምስጢር ነው"" አለው።ለእናትህ ወይም ለአባትህ አትንገራቸው፣ ምክንያቱም ጨዋታችንን ያበላሹብናል"" አለው።ሰውየው ለአሉላ የሚያምር ከረሜላ ሰጠው እና ""ነገ ደግሞ ብቻህን ና፣ የበለጠ የሚያምር ስጦታ እሰጥሃለሁ"" አለው",0,0
8,"አንድ አንበሳ በጫካው ውስጥ ያሉትን እንስሳት በሙሉ እያስፈራራ ይኖር ነበር። ተራው የጥንቸል ሲደርስ፣ ጥንቸሏ ዘግይታ ሄደች። አንበሳው ሲቆጣ ""ሌላ አንበሳ ጉድጓድ ውስጥ አየሁ"" አለችው። አንበሳው ተናዶ ጉድጓዱ ውስጥ ሲመለከት የራሱን ጥላ አየ። ሌላ አንበሳ መስሎት ሲዘልበት ጉድጓድ ውስጥ ቀረ። ትምህርቱ: ከጉልበት ይልቅ ብልሃት ያሸንፋል
",1,1
9,የአሁኑ ህይወታችን ልክ እንደተቆራረጠ ኢንተርኔት ነው። አለ ለማለት ይከብዳል፣ የለም ለማለትም ይከብዳል።ሁላችንም አንድን ነገር ለማድረግ እንነሳለን፣ ግን ደግሞ አቅም የለንም። እንስቃለን፣ ግን ደግሞ ሳቃችን ውስጣችን አይደርስም። እናዝናለን፣ ግን እንባ የለንም። ይህ የመደንዘዝ  ሁኔታ ትልቁ ስቃይ ነው።,1,1
10,"በአንድ ወቅት በአንድ ውብ የአትክልት ስፍራ ውስጥ የምትኖር ነጭ ቢራቢሮ ነበረች። ቢራቢሮዋ ሌሎች አበቦችን ስታይ ""እኔም እንደነሱ ቀለም በኖረኝ"" ብላ ትመኝ ነበር። አንድ ቀን አንዲት ደግ አበባ ""ቀለሜን ላካፍልሽ"" አለቻት። ቢራቢሮዋም ከአበባው ቀይ፣ ከቅጠሉ አረንጓዴ፣ ከሰማዩም ሰማያዊ ቀለም ተቀበለች። በደስታ እየበረረች ሌሎችንም ማሳመር ጀመረች። ትምህርቱ: ማካፈል ደስታን ይሰጣል።",1,1
